,tweet_id,retweet_count,favorite_count,retweet_status
0, 892177421306343426,6514,33819,original tweet
1, 891689557279858688,8964,42908,original tweet
2, 891087950875897856,3261,20562,original tweet
3, 890729181411237888,16716,56848,original tweet
4, 890240255349198849,7711,32467,original tweet
5, 889880896479866881,5156,28268,original tweet
6, 889638837579907072,4735,27672,original tweet
7, 889278841981685760,5637,25652,original tweet
8, 888804989199671297,4559,26080,original tweet
9, 888078434458587136,3653,22201,original tweet
10, 887517139158093824,12082,46959,original tweet
11, 887343217045368832,10737,34222,original tweet
12, 886983233522544640,8084,35859,original tweet
13, 886680336477933568,4610,22798,original tweet
14, 886267009285017600,4,117,original tweet
16, 885528943205470208,6683,36689,original tweet
18, 884925521741709313,16439,68152,original tweet
19, 884562892145688576,5100,24765,original tweet
20, 884247878851493888,72181,229185,original tweet
21, 883838122936631299,3586,22349,original tweet
22, 883360690899218434,3825,22986,original tweet
23, 882992080364220416,4122,24445,original tweet
24, 882627270321602560,6342,28382,original tweet
25, 882045870035918850,5203,29900,original tweet
26, 881666595344535552,11099,51522,original tweet
27, 881536004380872706,16570,50199,original tweet
28, 880935762899988482,2886,17346,original tweet
29, 880465832366813184,6546,29075,original tweet
30, 880095782870896641,4533,28150,original tweet
31, 879674319642796034,10,315,original tweet
32, 879415818425184262,45849,107956,original tweet
34, 879008229531029506,2812,19317,original tweet
35, 878604707211726852,163,804,original tweet
37, 878057613040115712,7181,42876,original tweet
39, 877316821321428993,5414,27907,original tweet
40, 876838120628539392,3506,21125,original tweet
41, 876484053909872640,2511,19163,original tweet
42, 875747767867523072,4497,25773,original tweet
43, 875097192612077568,30825,80189,original tweet
44, 874680097055178752,4875,28439,original tweet
45, 874296783580663808,4308,26651,original tweet
46, 874012996292530176,11007,35501,original tweet
47, 873580283840344065,4143,24837,original tweet
48, 873213775632977920,1667,7467,original tweet
49, 872820683541237760,3884,15029,original tweet
50, 872620804844003328,3911,21309,original tweet
51, 872261713294495745,6649,35085,original tweet
52, 871879754684805121,11918,39090,original tweet
53, 871515927908634625,3628,20730,original tweet
54, 871102520638267392,11988,27321,original tweet
55, 870804317367881728,6393,33791,original tweet
56, 870656317836468226,2817,12819,original tweet
57, 870308999962521604,4384,22453,original tweet
59, 869702957897576449,6728,29116,original tweet
60, 869227993411051520,4023,21112,original tweet
62, 868552278524837888,2240,10539,original tweet
63, 867774946302451713,7788,35179,original tweet
66, 866686824827068416,3727,20070,original tweet
67, 866334964761202691,15546,54720,original tweet
68, 865718153858494464,6008,26640,original tweet
69, 865006731092295680,8209,29063,original tweet
70, 864279568663928832,3266,15195,original tweet
71, 863907417377173506,4441,21477,original tweet
73, 863427515083354112,105,2363,original tweet
74, 863062471531167744,2687,8945,original tweet
75, 862722525377298433,3809,17779,original tweet
76, 862096992088072192,21840,66437,original tweet
77, 861383897657036800,11528,37744,original tweet
78, 861005113778896900,4119,17538,original tweet
80, 860524505164394496,5698,24678,original tweet
81, 860184849394610176,6295,17474,original tweet
82, 859924526012018688,4349,20021,original tweet
83, 859607811541651456,1704,19476,original tweet
84, 859074603037188101,14740,35553,original tweet
85, 858843525470990336,3771,16304,original tweet
86, 858107933456039936,3154,16524,original tweet
87, 857746408056729600,11524,36021,original tweet
88, 857263160327368704,4934,21041,original tweet
91, 856526610513747968,2068,12446,original tweet
92, 856288084350160898,17,545,original tweet
93, 855862651834028034,27,320,original tweet
94, 855857698524602368,275,3250,original tweet
95, 855818117272018944,3405,16620,original tweet
97, 854732716440526848,6690,24188,original tweet
98, 854365224396361728,5159,20046,original tweet
99, 854010172552949760,3433,17169,original tweet
100, 853639147608842240,11265,37198,original tweet
102, 852672615818899456,2388,15939,original tweet
103, 852311364735569921,10961,35325,original tweet
104, 852189679701164033,1741,12217,original tweet
106, 851464819735769094,7855,25944,original tweet
107, 850753642995093505,10352,33348,original tweet
108, 850333567704068097,367,3647,original tweet
109, 850019790995546112,5459,21944,original tweet
111, 849336543269576704,2101,12240,original tweet
112, 848690551926992896,4826,27104,original tweet
113, 848213670039564288,832,8834,original tweet
115, 847962785489326080,5730,25296,original tweet
116, 847617282490613760,468,7558,original tweet
117, 847251039262605312,4800,22036,original tweet
118, 847116187444137987,3583,23108,original tweet
119, 846514051647705089,13076,48410,original tweet
120, 846153765933735936,10226,34394,original tweet
121, 846042936437604353,3224,17256,original tweet
122, 845677943972139009,5365,27154,original tweet
123, 845397057150107648,2072,8241,original tweet
125, 844973813909606400,3617,16361,original tweet
126, 844580511645339650,3533,17871,original tweet
127, 843981021012017153,3285,16327,original tweet
128, 843604394117681152,3081,18310,original tweet
130, 842765311967449089,1439,7321,original tweet
131, 842163532590374912,6568,26569,original tweet
133, 841439858740625411,4168,13755,original tweet
134, 841314665196081154,5312,17305,original tweet
136, 840698636975636481,3,197,original tweet
137, 840632337062862849,1972,9761,original tweet
